"iWAT_M03(r1)"	"iWAT_M03(r2)"	"Beige/brite (RG on iWAT)_M03(r1)"	"Beige/brite (RG on iWAT)_M03(r2)"
"ENSMUSG00000001472"	9.6366525	9.6626575	9.652715	9.67007
"ENSMUSG00000001473"	12.14237	12.03701	11.87808	11.75652
"ENSMUSG00000001482"	8.26408	8.35109	8.33065	8.44189
"ENSMUSG00000001493"	6.17805	6.19417	6.03624	6.05221
"ENSMUSG00000001494"	4.993965	5.04149	4.95492	5.129135
"ENSMUSG00000001496"	5.13666	5.28267	5.43643	5.379
"ENSMUSG00000001497"	5.66134	5.64502	5.715505	5.722145
"ENSMUSG00000001504"	8.15285	8.15647	8.04502	8.02695
"ENSMUSG00000001506"	12.704315	12.675615	12.510545	12.41054
"ENSMUSG00000001507"	6.05673	6.08798666666667	6.05076666666667	6.18161
"ENSMUSG00000001508"	5.86865	6.14541	6.11563	6.31169
"ENSMUSG00000001510"	5.93933	5.899685	6.242975	6.251695
"ENSMUSG00000001517"	6.047715	6.0148675	6.13306	5.919015
"ENSMUSG00000001518"	6.47663	6.52109	6.54173	6.57025
"ENSMUSG00000001520"	6.87071	6.73121	6.23474	6.31797
"ENSMUSG00000001521"	6.823575	6.85318	6.45517	6.496395
"ENSMUSG00000001524"	7.9323575	7.8663125	7.870155	7.8317775
"ENSMUSG00000001525"	12.25771	12.2424	12.102605	11.965675
"ENSMUSG00000001542"	11.08522	11.13448	11.15401	11.18709
"ENSMUSG00000001552"	6.52397	6.37066	6.32429	6.29282
"ENSMUSG00000001555"	10.86985	10.72533	10.44155	10.289985
"ENSMUSG00000001558"	4.69282	4.88475	5.03852	4.84753
"ENSMUSG00000001566"	4.29343	4.43807	4.23137	4.47924
"ENSMUSG00000001576"	9.95261	9.84155333333333	9.97638333333333	9.92431666666667
"ENSMUSG00000001583"	5.23918333333333	5.16179666666667	5.28712666666667	5.35845
"ENSMUSG00000001604"	6.44438	6.19078	5.97086	5.8186
"ENSMUSG00000001622"	4.522705	4.62366	4.61683	4.792175
"ENSMUSG00000001627"	11.20627	11.21618	11.8019	11.75898
"ENSMUSG00000001632"	8.57307	8.70154	8.67759	8.69652
"ENSMUSG00000001642"	11.34438	11.3076933333333	11.95192	11.9448566666667
