"Beige/brite (cold on sWAT)_M10(r1)"	"Beige/brite (cold on sWAT)_M10(r2)"	"Beige/brite (cold on sWAT)_M10(r3)"	"Treated BAT (cold)_M10(r1)"	"Treated BAT (cold)_M10(r2)"	"Treated BAT (cold)_M10(r3)"	"sWAT_M10(r1)"	"sWAT_M10(r2)"	"sWAT_M10(r3)"	"mWAT_M10(r1)"	"mWAT_M10(r2)"	"Beige/brite (cold on mWAT)_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r2)"	"BAT_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r3)"	"mWAT_M10(r3)"	"BAT_M10(r2)"	"BAT_M10(r3)"
"ENSMUSG00000000303"	11.15224	11.28072	11.27488	4.93992	5.51132	5.08847	11.80942	11.54799	11.37961	6.10017	5.51854	6.28299	9.552	7.04848	5.36875	5.58379	4.73198	5.69801
"ENSMUSG00000000305"	5.11158666666667	5.20445333333333	5.33707	5.82895	5.91745333333333	5.91471	5.40624	4.95843333333333	5.16174666666667	5.28250333333333	5.56967333333333	5.59518333333333	5.43989666666667	5.63336	5.55727	5.37464	5.77824666666667	5.38081666666667
"ENSMUSG00000000308"	7.19238	6.95495	7.182515	5.517415	4.747735	5.342805	8.54762	8.04893	7.30584	7.354405	8.58609	7.69592	7.572295	5.13832	8.650315	7.563325	4.75785	5.1075
"ENSMUSG00000000317"	11.18975	11.17289	11.32277	11.71893	11.15162	11.41503	10.71048	11.15738	10.0411	10.04184	9.93784	9.96611	9.58116	11.87596	9.87314	9.86786	11.82303	11.68774
"ENSMUSG00000000318"	11.68899	11.3763	11.35063	8.6485	9.03442	8.08542	11.5176	11.5495	11.56204	10.31331	10.09704	9.94614	9.96516	9.72826	10.27677	10.07145	9.0454	9.41778
"ENSMUSG00000000320"	7.34031	7.167435	7.02434	6.98741	7.2579	7.259735	6.161045	6.822065	6.498135	5.850615	5.711515	5.815135	6.24611	6.75211	5.60023	5.98275	6.917735	6.75278
"ENSMUSG00000000325"	7.21340333333333	7.04778333333333	6.89741666666667	7.48309	7.54178333333333	7.62854333333333	7.01537333333333	7.30627666666667	6.98185	6.95763333333333	7.28462333333333	6.70891333333333	6.80896666666667	7.0517	7.24077333333333	7.02050666666667	7.06314666666667	7.19815333333333
"ENSMUSG00000000326"	13.167245	13.09366	12.73472	13.11287	13.17985	13.11453	12.706675	13.112135	12.86652	12.9653	12.90044	12.348835	12.627785	12.621945	12.957985	12.722665	12.686485	12.769095
"ENSMUSG00000000339"	10.73282	10.65549	10.31798	10.98823	11.02832	10.98876	10.34789	10.26215	10.34124	10.33723	10.53683	10.53529	10.48195	10.61955	10.49019	10.442	10.75783	10.71509
"ENSMUSG00000000340"	11.29328	11.13099	11.40789	12.39473	12.40906	12.53724	10.73669	10.99503	10.54087	10.51104	10.89209	10.42344	10.59846	12.07954	10.83031	10.47984	12.23038	12.0763
"ENSMUSG00000000346"	11.99193	12.07074	12.09863	12.01444	11.92082	11.85506	11.87221	11.98711	12.11878	12.08882	11.92296	12.10304	12.09965	11.6615	11.88126	12.05592	11.78764	11.72476
"ENSMUSG00000000355"	12.05421	12.05778	12.0059	12.28066	12.28761	12.27714	11.70269	11.7491	11.78637	11.5873	11.69782	11.67474	11.61074	12.33689	11.70825	11.59187	12.28196	12.18157
"ENSMUSG00000000359"	6.63274	6.430925	6.296875	6.46129	6.22116	6.37214	6.46674	6.62055	6.426015	6.31833	6.950375	6.593385	6.08553	6.67504	6.82438	6.61017	6.574305	6.435155
