"BAT_M01(r1)"	"BAT_M01(r2)"	"WAT_M01(r1)"	"WAT_M01(r2)"
"ENSMUSG00000001103"	5.132715	5.215905	5.078	4.91668
"ENSMUSG00000001105"	8.8552	8.80248	9.78293	9.77685
"ENSMUSG00000001119"	10.52499	10.22509	10.39094	10.60863
"ENSMUSG00000001120"	5.6566	5.659865	6.612205	6.99907
"ENSMUSG00000001123"	9.37379	9.19914	9.23544	8.69315
"ENSMUSG00000001127"	6.628456	6.763194	7.528068	7.867342
"ENSMUSG00000001128"	8.27973	7.37202	7.78145	7.48706
"ENSMUSG00000001131"	6.09371	5.95085	7.06931	6.79127
"ENSMUSG00000001138"	6.664605	6.51167	6.3484825	6.37265
"ENSMUSG00000001143"	7.03088	6.944595	6.307125	6.460745
"ENSMUSG00000001150"	6.87675	6.93932	6.73687	6.77906
"ENSMUSG00000001151"	7.9165	8.12021	7.602655	7.642235
"ENSMUSG00000001155"	5.15333	5.31739	5.33732	5.21253
"ENSMUSG00000001156"	6.29655666666667	6.27801	6.06163666666667	6.00914666666667
"ENSMUSG00000001157"	6.3327725	6.4250475	7.2178475	7.1682975
"ENSMUSG00000001158"	10.72913	10.898485	10.10853	10.091905
"ENSMUSG00000001166"	4.64909	4.51527	4.61954	5.04172
"ENSMUSG00000001168"	5.38293	5.34155	4.8734	5.13389
"ENSMUSG00000001173"	5.40664333333333	5.32954	6.26622333333333	6.53757
"ENSMUSG00000001175"	10.493422	10.551908	10.626144	10.84419
"ENSMUSG00000001211"	9.03746	9.1870375	8.4179975	8.575205
"ENSMUSG00000001225"	4.27081333333333	4.41858333333333	7.40531	8.53754666666667
"ENSMUSG00000001227"	5.96143	6.23265	5.81524	5.98084
"ENSMUSG00000001228"	4.88047	4.94646333333333	5.66386	5.17305666666667
"ENSMUSG00000001229"	8.1208	8.00425	7.46973	7.60361
"ENSMUSG00000001240"	9.44537333333333	9.34434	9.37469666666667	9.27082
"ENSMUSG00000001247"	7.17396	7.24096	8.92897	9.14206
"ENSMUSG00000001248"	8.826	8.74114	7.91235	7.72886
"ENSMUSG00000001249"	5.90695	5.89808	6.09852	6.72783
"ENSMUSG00000001260"	3.931805	3.753695	3.655565	3.64018
"ENSMUSG00000001270"	8.79069	8.48735	10.24882	10.67873
"ENSMUSG00000001280"	8.58353	8.40108	8.63499	8.6237
"ENSMUSG00000001281"	6.9554	6.48101	6.45166	5.9791
"ENSMUSG00000001285"	6.5185	6.65849	6.64676	6.72491
"ENSMUSG00000001288"	7.70263	7.53759	7.44287	7.284355
"ENSMUSG00000001289"	10.479315	10.462355	11.509	11.84619
"ENSMUSG00000001300"	6.1400975	6.1370675	6.5290225	6.566255
"ENSMUSG00000001305"	7.34187	7.35819	7.57114	7.41258
"ENSMUSG00000001313"	5.78163	5.70295	6.34216	6.40168
"ENSMUSG00000001323"	6.958512	7.02382	6.284498	6.428818
"ENSMUSG00000001333"	5.68478666666667	6.32250666666667	4.57772666666667	4.69879666666667
"ENSMUSG00000001334"	6.903365	6.60565	5.34411	5.154725
"ENSMUSG00000001348"	11.90368	11.32119	10.77203	10.48983
"ENSMUSG00000001349"	5.63173	6.34255	9.36257	8.53773
"ENSMUSG00000001366"	9.059765	9.240665	8.52193	8.55466
"ENSMUSG00000001376"	6.814755	6.948255	6.88292	6.97879
"ENSMUSG00000001380"	8.49036	8.427175	8.84131	8.732475
"ENSMUSG00000001383"	7.184625	7.152715	7.523945	7.68032
"ENSMUSG00000001403"	6.26255	5.89259	7.99344	6.20269
"ENSMUSG00000001415"	6.715035	6.78717	6.47664	6.41399
"ENSMUSG00000001416"	9.16923	9.244836	9.201576	9.10249
"ENSMUSG00000001418"	9.69962	9.76166	10.23133	10.42987
"ENSMUSG00000001419"	8.46151333333333	8.50448	7.93566	7.76653666666667
"ENSMUSG00000001420"	8.65988	8.69347	5.99273	5.95914
"ENSMUSG00000001424"	7.93894	7.60217	9.7942	9.89994
"ENSMUSG00000001435"	7.84503	7.718265	8.75108	8.790895
"ENSMUSG00000001436"	8.711315	8.960555	8.12061	8.30929
"ENSMUSG00000001440"	9.02892666666667	9.08305333333333	9.12928666666667	9.10586333333333
"ENSMUSG00000001441"	7.80270666666667	7.70772	7.49308	7.59913
"ENSMUSG00000001444"	4.22943	4.1255	3.83414	3.9173
"ENSMUSG00000001445"	10.58302	10.64659	9.39602	9.34302
"ENSMUSG00000001467"	6.24966333333333	6.06183333333333	6.49343666666667	6.60265666666667
"ENSMUSG00000001472"	9.010655	9.1050225	9.0473425	9.18064
"ENSMUSG00000001473"	8.2142	7.87187	7.76684	7.51106
"ENSMUSG00000001482"	7.45934	7.3355	7.13737	7.44248
"ENSMUSG00000001493"	6.99438	6.95635	6.60965	6.37402
"ENSMUSG00000001494"	4.154615	4.33432	4.058175	3.89021
"ENSMUSG00000001496"	5.1453	5.44887	5.01615	4.8016
"ENSMUSG00000001497"	4.33843	4.47161333333333	4.09467666666667	3.96124
"ENSMUSG00000001504"	5.58892	5.48455	8.72586	7.23888
"ENSMUSG00000001506"	11.04692	10.363705	9.778825	9.75445
"ENSMUSG00000001507"	6.80138666666667	6.62042666666667	6.75189	7.04935
"ENSMUSG00000001508"	8.52077	9.25766	5.9557	5.9342
"ENSMUSG00000001510"	5.25439	5.45713	5.30703	5.21478
"ENSMUSG00000001517"	5.4225875	5.2526225	5.3623925	5.22714
