"sWAT_M06(r1)"	"sWAT_M06(r2)"	"sWAT_M06(r3)"	"sWAT_M06(r4)"	"BAT_M06(r1)"	"BAT_M06(r2)"	"BAT_M06(r3)"	"BAT_M06(r4)"
"ENSMUSG00000000838"	6.87529	6.8526375	6.6858775	6.8103825	6.49698	6.4161125	6.6184975	6.45776
"ENSMUSG00000000861"	6.91154166666667	6.67982	7.34973666666667	7.41549666666667	4.26169666666667	3.94894333333333	3.89890333333333	4.08910166666667
"ENSMUSG00000000869"	4.72094	4.63055	5.88194	4.47924	4.14815	3.97164	3.99963	3.94743
"ENSMUSG00000000876"	7.258025	7.77818	7.23067	7.318375	8.3871	8.408205	8.55242	8.277335
"ENSMUSG00000000881"	5.63658	5.57852	6.21725	5.36587	5.93104	6.05432	6.06693	5.81985
"ENSMUSG00000000884"	5.97144	5.41654	4.87596	5.64837	6.09876	5.80251	6.00439	6.26045
"ENSMUSG00000000889"	4.37001	4.67088	4.59157	4.61858	5.25843	5.07211	4.9076	5.15622
"ENSMUSG00000000901"	5.91039	6.66271	4.75116	5.67595	6.14719	6.61935	6.79569	5.97455
"ENSMUSG00000000902"	7.445305	7.26968	6.69155	7.570945	7.50574	7.71476	7.407745	7.656545
"ENSMUSG00000000903"	6.83245	6.67476	5.76116	7.02597	6.13232	5.86317	5.59537	5.61609
"ENSMUSG00000000915"	6.84719666666667	6.69446666666667	6.19574666666667	7.02557	6.60375	6.53596	6.70301333333333	6.21222666666667
"ENSMUSG00000000916"	6.120195	6.070765	6.04572	6.200495	6.615945	6.62824	6.467515	6.28341
"ENSMUSG00000000934"	6.67031	6.83318	6.3091	6.72341	7.70258	7.58979	7.60951	7.75482
"ENSMUSG00000000938"	4.10328	4.41755	5.29582	4.24285	3.23698	3.21539	3.08296	2.78342
"ENSMUSG00000000942"	4.06228	3.95887	3.49219	3.70641	6.88856	7.18851	6.33132	5.91215
"ENSMUSG00000000948"	9.625825	9.96594	9.67878	9.589015	9.912825	9.893385	9.7965	9.824285
"ENSMUSG00000000957"	5.942675	6.84198	5.653505	6.64119	5.684575	5.83241	5.917635	6.216435
"ENSMUSG00000000958"	5.714415	6.139495	5.156805	6.084365	4.888575	5.02269	4.97191	5.451175
"ENSMUSG00000000959"	6.61595	6.18434	5.700785	6.42137	6.989045	7.397955	7.113465	6.96918
"ENSMUSG00000000976"	6.4438725	6.5011625	6.2055625	6.707525	6.40484	6.1886	6.04572	6.4765325
"ENSMUSG00000000982"	5.61001	5.35123	4.58687	5.69901	5.13764	5.30139	5.12371	5.63735
"ENSMUSG00000000983"	5.27662	5.36405	5.8504	5.1886	5.04643	5.96518	5.17726	5.04238
"ENSMUSG00000001014"	4.20104	4.19202	4.20162	4.40299	4.74643	4.66033	4.21817	4.59843
"ENSMUSG00000001016"	7.735015	7.339815	7.088825	7.310345	6.45637	6.605855	6.70992	7.0477
"ENSMUSG00000001017"	9.885165	9.5761	8.654445	9.6585	8.370145	8.687435	8.490985	8.80004
"ENSMUSG00000001018"	7.470355	7.433735	6.95439	6.90116	7.701635	7.839845	7.932495	7.66507
