"BAT_M09(r1)"	"BAT_M09(r2)"	"BAT_M09(r3)"	"eWAT_M09(r1)"	"eWAT_M09(r2)"	"eWAT_M09(r3)"	"pvWAT_M09(r1)"	"pvWAT_M09(r2)"	"pvWAT_M09(r3)"	"iWAT_M09(r1)"	"iWAT_M09(r2)"	"iWAT_M09(r3)"
"ENSMUSG00000000686"	9.29576	9.8254	9.4439	9.58545	9.22226	9.68232	9.67083	9.452	9.74273	9.10187	8.9608	9.05386
"ENSMUSG00000000690"	7.71562	7.56071	7.82567	8.0602	7.89496	7.97183	7.7797	7.38565	7.27439	7.85137	7.79245	7.94631
"ENSMUSG00000000693"	7.91184	8.05	8.28748	8.45092	8.5121	8.46441	8.26381	8.14785	8.22594	8.30746	8.60278	8.39485
"ENSMUSG00000000701"	8.06745	7.69576	8.00036	7.96851	8.04142	7.90159	8.20975	7.92475	7.90832	8.16214	7.91757	7.85859
"ENSMUSG00000000706"	6.75238	6.72379	6.6913	6.53787	6.65579	6.54461	6.46175	6.49133	6.45425	6.4681	6.61068	6.41549
"ENSMUSG00000000708"	8.60066	8.59523	8.78382	8.93043	8.82407	9.2014	8.90041	8.81803	9.07609	8.83828	8.69654	8.79706
"ENSMUSG00000000711"	11.3878385714286	11.3570271428571	11.2567042857143	11.8922057142857	11.6631857142857	11.6071528571429	11.4662071428571	11.6149185714286	11.4855485714286	12.0496028571429	12.0312342857143	12.1088928571429
"ENSMUSG00000000724"	6.0549	5.94123	6.02599	5.76588	5.90759	5.90974	6.15872	5.85429	5.95762	6.02155	5.88921	5.92921
"ENSMUSG00000000730"	7.4162	7.49753	7.32463	7.07282	7.01364	6.98911	7.3864	6.81474	6.9832	7.10118	6.96916	7.00197
"ENSMUSG00000000731"	8.31604	8.19754	8.51115	7.98747	8.38763	8.12003	8.29773	8.19633	8.23409	8.0879	8.18816	8.16383
"ENSMUSG00000000732"	7.85774	8.25616	8.09101	8.71373	8.5776	8.65699	8.28338	9.0822	8.23138	9.73312	9.86988	10.41363
"ENSMUSG00000000738"	9.03507	8.90907	9.1609	8.62489	8.22087	8.66768	9.09841	8.974	9.10019	8.25963	8.14146	8.43239
"ENSMUSG00000000739"	7.53333	7.78403	7.82217	7.9311	8.14574	8.07999	7.85275	7.90724	7.97457	7.7717	7.96613	8.02686
"ENSMUSG00000000740"	9.143693	8.953738	9.065294	9.48864	9.031158	8.983909	9.343562	9.030707	9.016956	9.528004	9.271251	9.685653
"ENSMUSG00000000743"	10.90741	10.90489	10.81021	11.29424	11.07673	11.15517	10.60338	10.85057	10.90806	11.08191	11.01674	10.85557
"ENSMUSG00000000751"	8.84843	8.66841	8.69509	9.05088	8.74149	8.9071	8.78904	8.83057	8.89866	8.91152	8.92841	9.16679
"ENSMUSG00000000753"	10.19225	10.47575	10.07398	11.12169	11.02714	11.33842	10.42249	10.18196	10.51089	11.49178	11.3793	11.29033
"ENSMUSG00000000759"	8.52783	8.79596	8.44376	8.73304	8.62281	8.81667	8.57952	8.70405	8.84831	8.77961	8.80844	8.90351
"ENSMUSG00000000766"	9.431265	9.58138	9.52116	9.516895	9.464805	9.213845	9.659655	9.47641	9.48969	9.60393	9.601215	9.70509
"ENSMUSG00000000776"	8.21034	8.33571	8.35116	8.29164	7.98557	8.20836	8.31309	8.26593	8.36916	8.16519	8.13875	8.32945
"ENSMUSG00000000782"	7.16495	7.29647	7.3335	7.36988	7.42549	7.24445	7.67418	8.34725	7.35644	9.35611	9.56837	9.82387
"ENSMUSG00000000787"	10.437485	10.631545	10.623655	10.07859	10.0397	10.07088	10.44062	10.510745	10.486685	10.006205	10.10211	10.118335
"ENSMUSG00000000791"	8.10405	8.21678	8.31342	7.98587	8.12254	8.09917	8.32638	8.1673	7.89574	8.2692	8.35825	8.52706
"ENSMUSG00000000792"	7.85167	7.83048	7.89932	7.72025	7.80386	7.67465	7.81568	7.74486	7.55031	7.78177	7.78106	7.81249
"ENSMUSG00000000794"	8.15365	7.89407	7.96797	8.12491	8.10828	7.97581	8.07034	7.81864	7.82232	7.9549	7.88322	7.77881
"ENSMUSG00000000804"	9.86145	9.89721	9.89976	9.77447	9.88406	9.87437	9.96133	9.8848	9.91473	9.73998	9.80619	9.75469
"ENSMUSG00000000805"	11.19684	11.31864	11.2284	10.54029	11.36775	11.3857	11.31301	11.08093	11.48418	10.85104	11.04836	10.62357
"ENSMUSG00000000811"	8.38556	8.39532	8.63501	8.45092	8.35283	8.67427	8.36292	8.44042	8.64754	8.35642	8.17433	8.26345
