"BAT_M07(r1)"	"BAT_M07(r2)"	"BAT_M07(r3)"	"BAT_M07(r4)"	"BAT_M07(r5)"	"eWAT_M07(r1)"	"eWAT_M07(r2)"	"eWAT_M07(r3)"	"eWAT_M07(r4)"	"eWAT_M07(r5)"	"eWAT_M07(r6)"
"ENSMUSG00000001156"	5.23681	5.34963	5.43251	5.58478	5.42478	5.36135	5.21464	5.31589	5.18955	5.23632	5.2848
"ENSMUSG00000001158"	7.77252	7.47453	7.52367	7.56615	7.86106	7.30938	7.23411	7.17564	7.11243	7.33633	7.08317
"ENSMUSG00000001175"	9.86015	9.71076	10.02758	10.01656	10.16839	9.6186	9.61108	9.59921	9.41212	9.6821	9.29518
"ENSMUSG00000001211"	7.92406	8.07729	7.6822	7.88729	8.15025	7.97892	7.8984	7.87979	7.65326	7.94091	7.87342
"ENSMUSG00000001227"	6.00928	5.93306	5.94709	5.66114	5.75929	5.85205	5.95852	5.97605	5.71445	5.84416	5.94578
"ENSMUSG00000001228"	7.1589	7.0424	7.3782	6.8664	7.20141	6.76262	6.63295	6.81481	6.76128	6.76488	6.60025
"ENSMUSG00000001240"	7.37266	7.3299	7.341625	7.51042	7.638225	6.736755	6.609235	6.599615	6.608	6.730655	6.74169
"ENSMUSG00000001247"	7.04051	7.05695	7.04791	6.95547	7.09599	6.92089	6.96537	6.95278	7.01094	6.89543	6.97245
"ENSMUSG00000001249"	4.73574	4.88551	4.68478	4.7252	5.01258	4.7242	4.77798	4.693	4.66583	4.67432	4.85611
"ENSMUSG00000001260"	3.4677	3.59012	3.59501	3.4781	3.56293	3.92663	4.08168	3.95257	3.94775	3.70981	3.98361
"ENSMUSG00000001270"	8.44648	8.54787	8.42234	8.50493	8.17705	8.82646	8.95959	9.00613	9.02147	8.77701	9.06919
"ENSMUSG00000001280"	4.62406	4.69304	4.96862	4.90083	4.82614	5.67023	5.5381	5.94349	5.71554	5.63951	5.63368
"ENSMUSG00000001281"	6.99691	7.2792	6.98544	7.03631	7.30873	7.1607	7.35455	7.18928	7.24905	7.14565	7.41089
"ENSMUSG00000001285"	4.25637	3.69201	4.16734	4.04292	3.95729	3.89792	3.95392	3.95546	4.04923	3.87721	3.95016
"ENSMUSG00000001288"	6.10402	6.20617	6.26243	6.08327	6.19992	6.49893	6.42337	6.64876	6.56957	6.39238	6.57505
"ENSMUSG00000001300"	5.94646	5.76314	5.73611	6.11866	5.59592	5.61797	5.68233	5.84517	5.7686	5.42978	5.6341
"ENSMUSG00000001313"	6.40806	6.4696	6.57697	6.52482	6.26117	6.03568	6.0572	6.06612	6.15407	6.1464	6.37528
"ENSMUSG00000001348"	7.04487	7.02807	6.50192	7.04529	7.37433	7.54129	7.69597	7.26539	7.45369	7.58619	7.63013
"ENSMUSG00000001349"	6.54481	6.50377	6.6732	6.84557	7.07757	8.45383	8.77426	9.04899	8.9668	7.97752	8.19495
