"Deep neck_patient 1_hM2"	"Subcutaneous neck_patient 1_hM2"	"Deep neck_patient 2_hM2"	"Subcutaneous neck_patient 2_hM2"	"Deep neck_patient 3_hM2"	"Subcutaneous neck_patient 3_hM2"	"Deep neck_patient 4_hM2"	"Subcutaneous neck_patient 4_hM2"	"Deep neck_patient 5_hM2"	"Subcutaneous neck_patient 5_hM2"	"Deep neck_patient 6_hM2"	"Subcutaneous neck_patient 6_hM2"
"ENSG00000004939"	6.30316	6.45555	6.33106	6.66781	6.39704	6.44792	6.39499	6.48885	6.4544	6.42731	6.47559	6.43783
"ENSG00000004948"	4.57605	4.82304	4.72785	4.89935	4.99231	4.95564	4.85965	4.8861	5.00396	4.90555	4.89304	5.00026
"ENSG00000004961"	9.82665	9.87364	9.92707	9.71437	10.00137	9.77493	9.82873	9.74082	10.17792	9.89018	9.95086	9.79103
"ENSG00000004975"	8.28477	8.28921	8.33811	8.31645	8.25833	8.00368	8.40138	8.33887	8.4343	8.46467	8.4366	8.32915
"ENSG00000005001"	7.68245	7.8628	7.67724	7.95502	7.63819	7.62469	7.84199	7.88273	7.89279	7.84123	7.80217	7.93731
"ENSG00000005007"	9.12476	9.25774	9.12205	9.38458	9.25279	9.27739	9.05889	9.10717	9.05521	9.17526	8.98399	9.11303
"ENSG00000005020"	9.77512	9.28878	9.83483	9.0779	9.54873	8.89343	10.51276	8.9524	10.3102	8.28414	9.55459	9.19413
"ENSG00000005022"	11.16998	11.15295	11.30646	11.34907	11.36667	11.42789	11.73395	11.38168	11.45035	11.21162	11.30819	11.22969
"ENSG00000005059"	9.34216	8.76596	9.35368	9.32652	9.67666	9.85802	9.34432	10.39056	9.82111	9.64239	9.71852	9.63208
"ENSG00000005073"	5.85811	5.96005	5.87328	5.89176	5.85555	5.81462	5.86943	5.88275	5.94191	5.86642	5.7951	5.84711
"ENSG00000005075"	10.1167533333333	10.16837	10.1392366666667	10.0039566666667	10.2405366666667	10.2000866666667	10.2185066666667	10.0964333333333	10.0089833333333	10.06862	9.89762333333333	9.85512333333333
"ENSG00000005100"	9.431395	9.32299	9.47116	9.31748	9.53244	9.540995	9.684585	9.63075	9.48009	9.39132	9.43649	9.45372
"ENSG00000005102"	6.49571	6.80912	6.62264	7.0374	6.65401	6.48648	6.97267	6.99296	6.84149	6.92073	6.90495	6.83161
