"iWAT_M08(r1)"	"iWAT_M08(r2)"	"iWAT_M08(r3)"	"Beige/brite (cold on iWAT)_M08(r1)"	"Beige/brite (cold on iWAT)_M08(r2)"	"Beige/brite (cold on iWAT)_M08(r3)"	"iWAT_M08(r4)"	"iWAT_M08(r5)"	"iWAT_M08(r6)"	"Beige/brite (cold on iWAT)_M08(r4)"	"Beige/brite (cold on iWAT)_M08(r5)"	"Beige/brite (cold on iWAT)_M08(r6)"
"ENSMUSG00000000766"	5.5452275	5.53582	5.5404425	5.6464175	5.619925	5.7327	5.60133	5.4895375	5.55471	5.7483125	5.6013075	5.665765
"ENSMUSG00000000776"	7.054435	6.92604	6.889755	7.059185	6.862095	6.923565	7.029325	7.04689	7.101015	6.99231	7.11214	7.021205
"ENSMUSG00000000782"	8.75217	8.56683	8.425585	8.00826	8.16265	7.956585	8.327275	8.60741	8.81889	8.092865	8.342805	7.858215
"ENSMUSG00000000787"	11.2331966666667	11.27757	11.1983233333333	11.30484	11.2792533333333	11.3134966666667	11.27541	11.43143	11.0875866666667	11.2891766666667	10.79761	11.4806833333333
"ENSMUSG00000000791"	5.57116	5.56974	5.60869	5.52798	5.57335	5.57387	5.58457	5.57638	5.59249	5.67769	5.5243	5.76044
"ENSMUSG00000000792"	5.978365	5.976495	6.03384	6.138645	6.118605	6.04662	6.08455	6.087505	6.148715	6.26501	6.22359	6.29788
"ENSMUSG00000000794"	6.11238	6.1552	6.0558	6.31725	6.25633	6.27107	6.23404	6.04064	6.2054	6.33363	6.45338	6.52386
"ENSMUSG00000000804"	7.53149	7.56089	7.444365	7.444585	7.61586	7.70978	7.490215	7.555375	7.48096	7.409235	7.20733	7.483905
"ENSMUSG00000000805"	7.775685	7.697375	7.65229	8.48405	8.51964	8.35138	8.07799	8.272645	8.043295	8.77567	8.676385	8.729395
"ENSMUSG00000000811"	7.41101333333333	7.46812666666667	7.47697666666667	7.49067666666667	7.56303666666667	7.62654	7.45598666666667	7.41769333333333	7.26750333333333	7.41516333333333	7.20771666666667	7.24819666666667
"ENSMUSG00000000817"	5.02814	5.16176	5.198095	5.070195	5.024215	4.999095	5.1162	5.173845	5.16707	5.12402	5.089265	5.194865
"ENSMUSG00000000823"	6.658975	6.740795	6.594185	6.807195	6.924985	6.718815	6.722295	6.896335	6.746735	6.77051	6.7602	6.925735
"ENSMUSG00000000826"	8.21204	8.246278	8.202554	7.807784	7.972324	7.815166	8.023848	7.995214	8.017908	8.062974	8.098666	7.937102
"ENSMUSG00000000827"	8.36009333333333	8.31474333333333	8.23974666666667	8.34798	8.22679	8.29065333333333	8.40571333333333	8.26061	8.20927	8.15614	8.40230333333333	8.14531
"ENSMUSG00000000838"	8.170535	8.18522	8.0468525	7.765455	7.7944025	7.8363725	8.0618525	7.9472975	8.1186275	7.89929	7.541175	7.777
"ENSMUSG00000000861"	6.19712833333333	6.15927833333333	6.175505	5.80872833333333	5.93500166666667	5.93297833333333	5.92616333333333	6.02180333333333	6.05689666666667	5.753905	5.81651666666667	5.82340333333333
"ENSMUSG00000000869"	5.45789	5.49961	5.45765	5.57039	5.373	5.4145	5.37813	5.46648	5.51533	5.70328	5.72806	5.63731
"ENSMUSG00000000876"	8.88788	8.887255	8.73394	9.06297	9.028315	8.934345	8.692855	8.56354	8.54655	8.92533	9.07724	9.022525
"ENSMUSG00000000881"	6.17558	6.12618	6.04481	6.37231	6.36149	6.26553	6.28688	6.41677	6.20629	6.21868	6.34175	6.01919
"ENSMUSG00000000884"	6.09703	5.98757	6.13866	6.0289	5.86029	5.96667	6.02491	5.8503	6.21676	5.97409	6.0508	5.83324
"ENSMUSG00000000889"	6.14508	6.24815	6.19743	6.49342	6.39339	6.29725	6.18753	6.09813	6.27332	6.47386	6.34045	6.49238
"ENSMUSG00000000901"	5.69735	5.70477	5.6403	5.54911	5.59081	5.57205	5.62574	5.48322	5.74256	5.56074	5.66207	5.51324
"ENSMUSG00000000902"	7.998215	8.04454	8.06566	7.87102	7.7573	7.77797	8.033575	7.97684	7.88717	7.94331	8.05783	7.997
"ENSMUSG00000000903"	7.75152	7.64452	7.6156	7.81751	7.64398	7.4952	7.61978	7.46084	7.5752	7.80889	7.72002	7.82463
