"BAT_M05(r1)"	"BAT_M05(r2)"	"BAT_M05(r3)"	"eWAT_M05(r1)"	"eWAT_M05(r2)"	"eWAT_M05(r3)"
"ENSMUSG00000001424"	7.9976	8.14924	7.97494	8.8204	8.87199	8.98939
"ENSMUSG00000001435"	7.21434	6.578125	7.276895	9.57319	9.655615	9.489415
"ENSMUSG00000001436"	9.467015	9.582375	9.486245	8.953535	8.88904	8.926225
"ENSMUSG00000001440"	8.27323333333333	8.18552333333333	8.29729	8.80134666666667	8.82746	8.82508
"ENSMUSG00000001441"	7.51465	7.4544	7.54682666666667	7.44713333333333	7.63272333333333	7.56095
"ENSMUSG00000001444"	5.04454	4.92906	4.94123	4.54498	4.8856	4.72228
"ENSMUSG00000001445"	10.61377	10.27983	10.60713	9.7583	9.69361	9.70757
"ENSMUSG00000001467"	5.14567333333333	5.19450333333333	5.06755	5.14397	5.26813666666667	5.19354333333333
"ENSMUSG00000001472"	8.3485725	8.171375	8.4883975	8.359415	8.41211	8.371185
"ENSMUSG00000001473"	7.1492	6.73028	6.874	8.35156	8.59964	8.36351
"ENSMUSG00000001482"	8.42979	8.41348	8.61496	8.65717	8.47171	8.61681
"ENSMUSG00000001493"	7.61214	7.81826	7.53555	7.88506	7.90388	7.84395
"ENSMUSG00000001494"	4.629655	4.821935	4.790465	4.59856	4.68284	4.55917
"ENSMUSG00000001496"	4.97403	5.04187	4.95412	4.77216	4.84789	4.54844
"ENSMUSG00000001497"	5.59039666666667	5.61221666666667	5.56211666666667	5.47025	5.4713	5.4068
"ENSMUSG00000001504"	5.7077	6.06971	5.55064	5.27958	5.3333	5.50601
"ENSMUSG00000001506"	9.88089	9.562795	9.89857	10.69692	10.970725	11.012265
"ENSMUSG00000001507"	7.14275333333333	6.95506	7.17185666666667	6.98954666666667	7.04211333333333	7.02081
"ENSMUSG00000001508"	7.14875	7.23059	6.92955	6.86139	6.75336	6.6787
"ENSMUSG00000001510"	6.210325	6.244435	6.33533	6.203215	6.17595	6.13569
"ENSMUSG00000001517"	6.640965	6.697885	6.59808	6.376275	6.4512475	6.262385
"ENSMUSG00000001518"	8.18871	8.07451	8.06216	7.88672	8.01626	8.00226
"ENSMUSG00000001520"	8.12179666666667	8.30376666666667	8.11786666666667	7.80808666666667	7.91969	7.96355666666667
"ENSMUSG00000001521"	6.66031666666667	6.67983333333333	6.74405666666667	6.84697666666667	6.7856	6.69070666666667
"ENSMUSG00000001524"	6.5038775	6.496425	6.4852375	6.2590675	6.4023525	6.3765175
"ENSMUSG00000001525"	9.239065	9.345885	9.17336	10.61613	10.742315	10.80651
"ENSMUSG00000001542"	8.56623	8.41955	8.48945	9.02253	8.94174	8.91611
"ENSMUSG00000001552"	9.936	9.94627	9.86231	11.38491	11.31638	11.08756
"ENSMUSG00000001555"	6.80632	6.856815	6.737145	7.64161	7.76203	7.770125
"ENSMUSG00000001558"	5.61467	5.91678	5.66271	5.22962	4.99051	5.33617
"ENSMUSG00000001566"	4.53044	4.58234	5.04381	4.52524	4.43077	4.35019
"ENSMUSG00000001576"	8.40089333333333	8.40745	8.49286333333333	8.74586666666667	8.61685333333333	8.62846
"ENSMUSG00000001583"	5.30459333333333	5.28543	5.34019333333333	5.30042	5.21676333333333	5.36103
"ENSMUSG00000001588"	7.27978	7.46907	7.06043	7.20979	7.01966	7.160685
"ENSMUSG00000001604"	5.61179	5.57412	5.59296	5.3661	5.52737	5.54032
"ENSMUSG00000001622"	5.44718	5.667265	5.44751	5.27222	5.32261	5.2439
"ENSMUSG00000001627"	8.45696	8.19528	8.40184	9.48601	9.62735	9.65505
"ENSMUSG00000001630"	7.13638666666667	7.11064666666667	7.09710333333333	6.77827333333333	6.66028333333333	6.59889333333333
"ENSMUSG00000001632"	8.48523	8.33309	8.61605	8.47219	8.43835	8.58444
"ENSMUSG00000001642"	9.40545333333333	9.30326	9.35991333333333	10.0058066666667	10.0421766666667	10.0470233333333
"ENSMUSG00000001655"	7.03517	7.09317	6.656	6.68125	6.24487	6.50554
"ENSMUSG00000001657"	6.3031	6.40953	6.57461	11.51664	11.58949	11.66575
"ENSMUSG00000001661"	8.57278	8.44197	8.608205	9.000615	8.89536	8.89804
"ENSMUSG00000001663"	8.78388	8.8344	8.808	10.54333	10.62847	10.56972
"ENSMUSG00000001665"	6.529	6.02382	6.56381	7.45282	7.52076	7.40643
"ENSMUSG00000001666"	11.28527	11.06754	11.23189	10.0347	10.02741	10.07094
"ENSMUSG00000001670"	6.31927	6.5898	6.47906	6.06001	6.16209	6.43099
"ENSMUSG00000001672"	4.97905	5.071555	5.0698	5.05212	4.974	5.00878
"ENSMUSG00000001674"	6.59705333333333	6.55230666666667	6.59698666666667	6.80544666666667	6.71381333333333	6.81234666666667
"ENSMUSG00000001687"	9.64818	9.66855	9.78645	9.75726	9.8396	9.66855
"ENSMUSG00000001700"	8.021465	8.02935	8.08167	7.96873	7.964145	7.8872
"ENSMUSG00000001707"	8.22468	8.22244	8.14264	8.02182	7.97204	8.03934
