"sWAT_patient 5_hM3"	"sWAT (cold acclimation)_patient 5_hM3"	"sWAT_patient 2_hM3"	"sWAT_patient 6_hM3"	"sWAT (cold acclimation)_patient 2_hM3"	"sWAT (cold acclimation)_patient 6_hM3"	"sWAT_patient 3_hM3"	"sWAT_patient 7_hM3"	"sWAT (cold acclimation)_patient 3_hM3"	"sWAT (cold acclimation)_patient 7_hM3"	"sWAT_patient 4_hM3"	"sWAT_patient 8_hM3"	"sWAT (cold acclimation)_patient 4_hM3"	"sWAT (cold acclimation)_patient 8_hM3"
"ENSG00000005194"	5.22977	5.08691	4.97348	4.73907	5.08031	5.2633	4.82338	5.13554	5.0438	4.9789	5.18637	5.17267	4.93343	5.34007
"ENSG00000005206"	6.56841	6.63756	6.39256	6.62115	6.37017	6.53166	6.93448	6.52345	6.90834	6.71205	6.6629	6.37375	6.29593	6.52258
"ENSG00000005238"	6.18167	6.89953	6.33923	6.5188	6.16623	6.32722	6.44433	6.21377	6.7637	6.31519	6.34507	6.24364	6.17355	6.24995
"ENSG00000005243"	8.2215	7.58759	7.96054	7.78411	7.98018	7.55672	7.71062	7.70618	7.78606	7.96347	7.80691	7.92006	7.39803	7.81836
"ENSG00000005249"	10.39712	10.01519	10.33195	10.20444	10.28827	10.36905	10.02342	10.41161	9.86976	10.57356	10.11026	10.53614	10.32217	10.60927
"ENSG00000005302"	7.52765	7.74628	7.74046	7.57278	7.85178	7.53751	7.58963	7.60962	7.93031	7.35366	7.29691	7.69376	7.62168	7.63238
"ENSG00000005339"	8.88245	8.89417	8.76908	9.47746	8.78329	8.89503	9.44971	8.75831	9.30685	8.85475	9.12579	8.41958	8.69321	8.71375
"ENSG00000005379"	3.92836	3.74072	3.76176	3.80803	3.3402	3.72371	4.05436	3.86473	4.04222	3.57234	4.08126	3.86531	3.84275	3.59194
"ENSG00000005381"	3.49585	3.25278	3.76078	3.69879	3.38517	3.38552	3.65756	3.4962	3.44659	3.18146	3.36421	3.63879	3.75679	3.56998
"ENSG00000005421"	2.60085	2.61024	2.6263	2.9857	2.81882	2.61132	3.10287	2.97567	2.76375	2.74615	2.56416	3.15141	2.76745	2.80491
"ENSG00000005436"	6.08557	5.9984	5.97303	6.20483	5.77036	6.04516	5.75737	6.02866	5.2841	6.00031	6.11049	5.74269	6.19532	6.09138
"ENSG00000005448"	4.13927	3.99771	4.02633	3.95414	4.09204	4.41285	4.23358	4.12976	4.20566	4.28208	4.01331	3.87229	4.15532	4.23723
"ENSG00000005469"	6.28128	6.32439	6.17582	6.312	6.38699	6.40047	6.01016	6.58582	6.28103	6.45758	6.28836	6.55924	6.79229	6.45763
"ENSG00000005471"	4.305	3.94417	4.42934	3.67656	4.3885	4.58556	4.78459	4.55462	5.01223	4.88877	3.99947	4.37918	4.71924	4.41326
"ENSG00000005483"	9.75692	9.72728	9.75354	10.02603	9.64954	9.82455	9.96617	9.57208	9.88278	9.64315	9.93908	9.59276	9.79732	9.70123
"ENSG00000005486"	7.67454	7.7329	7.64501	7.91389	7.82431	7.49733	8.20529	7.42334	8.08609	7.72969	7.62349	7.59172	7.10619	7.56501
"ENSG00000005513"	4.109	3.45295	3.79506	4.17529	3.82608	3.89996	4.40528	4.11205	3.70448	3.79453	4.36835	3.74956	3.76127	3.56411
"ENSG00000005700"	7.43738	7.4664	7.3655	7.25614	7.49081	7.82132	7.24322	7.78723	7.22676	7.55788	7.32814	7.87834	7.72565	8.12274
"ENSG00000005801"	6.28281	6.26312	6.4089	6.21783	6.52743	6.62263	5.73647	6.63395	5.92865	6.52208	6.18105	6.37785	6.6425	6.61549
"ENSG00000005810"	8.81935	8.89066	8.88085	8.50517	8.92908	8.87657	8.87108	8.94217	8.68388	8.95599	8.92969	9.12495	9.22217	8.96129
"ENSG00000005812"	8.51072	8.09556	8.43979	8.15559	8.32142	8.88002	8.29915	8.51613	7.92395	8.64672	8.13749	8.51499	8.65363	8.59247
"ENSG00000005844"	5.47492	6.27704	6.86378	6.1621	6.07826	4.88631	6.05222	5.8443	6.18674	6.18685	5.93719	5.89029	5.91857	5.72227
"ENSG00000005882"	8.46266	8.18704	8.58898	9.04769	8.37384	8.66653	9.05313	8.42527	8.99218	8.8296	8.54934	8.35758	8.2694	8.57035
"ENSG00000005884"	5.86842	7.18051	5.94628	5.93187	6.22441	6.41503	7.33082	6.00116	7.24623	6.04549	6.15199	6.33398	6.13688	6.16056
"ENSG00000005889"	7.94523	7.34341	7.71438	7.2683	7.93266	7.85226	7.35115	8.08293	7.34328	8.04297	7.71408	7.81587	7.86796	7.95345
"ENSG00000005893"	8.74469	8.78354	9.02371	8.63949	8.89959	8.96627	8.60106	8.94315	8.74926	8.89862	8.55551	9.03656	8.88616	8.9037
"ENSG00000005961"	4.38748	4.23209	4.07308	4.89908	3.99419	3.89165	4.23933	3.95948	4.27521	4.08649	3.98798	3.8153	3.93326	4.07129
"ENSG00000005981"	2.54258	2.84966	2.40877	3.07205	2.4055	2.38737	2.70052	2.52812	3.02001	2.35825	2.84217	2.23968	2.89214	2.61753
"ENSG00000006007"	7.06485	6.95817	7.32493	7.08031	7.37728	6.87679	6.74506	7.26853	7.04002	7.19601	6.86294	7.21806	7.05117	7.30478
"ENSG00000006015"	6.15782	6.2448	5.64068	5.80833	5.97858	6.02898	6.18114	5.8745	6.3093	6.00644	6.09589	6.07552	5.94731	5.66348
"ENSG00000006016"	4.96185	4.80265	5.12244	5.20072	4.6926	4.9458	5.15819	4.72765	5.01935	4.5261	4.88453	5.07828	4.85928	4.6739
"ENSG00000006025"	5.52901	5.50222	5.42827	5.38775	5.28129	5.51784	5.57455	5.18708	5.57393	5.28566	5.52845	5.41571	5.25597	5.10558
"ENSG00000006042"	5.27561	5.21953	4.99505	4.81341	5.2907	5.5628	5.28602	5.11938	5.41464	5.28236	4.84994	5.28105	5.29419	5.30606
"ENSG00000006047"	5.80774	5.43835	6.13795	6.16205	5.76744	5.30306	5.90668	5.80873	6.45279	5.33761	6.01072	5.26887	5.62753	5.56056
"ENSG00000006059"	4.16712	4.53831	5.06016	4.46204	4.03394	4.52807	4.85659	4.5208	4.91145	4.15445	4.39008	4.57886	4.4657	4.39466
"ENSG00000006062"	4.98579	4.99534	4.99587	5.15697	4.97039	4.96166	5.27062	4.51952	4.84286	4.87721	5.01809	5.25572	4.96309	5.09807
"ENSG00000006071"	3.33969	3.51209	3.48519	3.77273	3.67986	3.74172	3.41158	3.40765	3.81629	3.37403	3.5668	3.55959	3.3289	3.03372
"ENSG00000006116"	2.66718	2.51097	2.31804	2.20381	2.4753	2.61664	2.68225	2.37269	2.54561	2.25148	2.66198	2.41434	2.14665	2.08466
"ENSG00000006118"	4.61101	4.07907	4.1795	4.42023	4.23666	4.17128	4.60221	4.17804	4.02836	4.1479	4.13648	4.34706	4.11381	4.2327
"ENSG00000006125"	9.40068	9.23249	9.21912	8.95745	9.43376	9.4348	9.34627	9.54517	9.36395	9.43543	8.81657	9.3684	9.41936	9.33886
"ENSG00000006128"	2.16758	2.26708	2.53555	2.49731	2.17113	2.42413	2.32218	2.20422	2.51043	1.85094	2.29222	2.39485	2.13823	2.63417
"ENSG00000006194"	6.13337	6.150665	6.19683	6.262955	6.170025	6.405235	6.25859	6.230785	6.17414	6.30531	6.1224	6.248985	6.08646	6.01106
"ENSG00000006210"	7.20768	7.36401	6.97835	6.9087	7.39574	7.15169	7.09747	7.0592	7.07373	6.8263	7.02524	6.59572	6.94414	7.12024
"ENSG00000006282"	6.15893	6.38963	6.71891	6.29297	6.84358	6.6745	6.3997	6.48161	6.53297	6.63062	6.69687	6.67282	6.47942	6.55329
"ENSG00000006283"	3.37582	2.64797	2.78344	2.60395	2.87796	2.8911	2.86524	2.72504	2.90269	2.6177	2.88213	2.66017	2.52907	2.64453
"ENSG00000006327"	5.37999	7.23028	5.85635	5.30838	5.39985	5.48348	5.56202	5.23096	5.99935	5.68414	5.2691	6.33837	5.66628	5.85417
"ENSG00000006377"	4.15679	4.06009	4.07196	3.94899	4.01278	3.96919	4.17165	3.88115	4.08107	3.93107	4.06502	4.02523	3.7571	3.73529
"ENSG00000006432"	3.30457	3.27398	3.013	3.1796	2.98964	3.32157	3.6042	3.20792	3.34876	3.30699	3.02956	3.02552	3.21649	2.9498
"ENSG00000006451"	7.33675	6.92175	7.08371	6.70085	7.16488	7.09924	6.70625	7.68118	6.89985	7.17237	7.01277	7.3383	7.12826	7.44643
"ENSG00000006453"	6.35441	5.86681	5.91341	6.30675	6.08365	6.31945	6.14259	6.03839	6.09977	5.78816	6.14459	5.91959	6.15354	6.19
"ENSG00000006459"	7.69741	7.25897	7.84085	7.52697	7.66506	7.80106	7.54601	7.66346	7.10518	7.74201	7.43244	7.75525	7.57888	7.77431
"ENSG00000006468"	5.48362	5.02942	5.31251	4.84349	5.47551	5.4665	4.82179	5.32508	5.01463	5.03784	5.13971	5.6517	5.83113	6.36673
"ENSG00000006530"	6.68112	6.46217	6.7855	6.57124	6.75944	6.98571	6.54322	6.87822	6.52009	6.81077	6.49778	6.96243	7.01379	6.96148
"ENSG00000006534"	5.84395	6.89307	6.31293	5.97374	6.17781	5.90505	6.45553	5.55829	6.50873	5.91238	6.05921	5.95986	5.57159	5.71604
"ENSG00000006555"	2.60232	2.79435	2.82204	2.85686	2.723	2.57268	2.51784	2.75322	3.09537	2.83082	2.9511	2.94503	2.71698	2.50448
"ENSG00000006576"	6.71703	6.57372	6.83361	6.24769	6.63217	6.6016	6.34989	6.69892	6.71711	6.90472	6.57622	6.82048	6.80813	6.9284
"ENSG00000006606"	3.16433	3.47505	3.18748	2.70747	2.86031	3.16034	3.15894	3.45783	2.82517	2.76541	3.29216	2.80677	3.01999	2.94467
"ENSG00000006607"	6.60249	6.52094	6.50728	6.71014	6.60282	6.64833	6.76368	6.60436	6.64798	6.76628	6.78024	6.46429	6.40104	6.57758
"ENSG00000006611"	3.36991	3.16774	3.18203	3.28845	3.09667	3.24409	3.3094	3.35267	3.21326	3.09343	3.28804	3.0645	2.99468	3.08499
"ENSG00000006625"	6.0081	6.48926	5.5131	5.8644	5.96337	5.95104	5.93153	6.09821	6.17387	5.83503	5.95025	6.26766	6.38325	6.11758
"ENSG00000006634"	4.24673	4.04099	4.41173	3.68902	3.8209	4.11372	3.85793	3.92562	4.00282	3.89818	3.47336	3.8006	4.29205	3.7904
"ENSG00000006638"	4.34728	3.50148	4.14109	3.52467	3.84088	3.71923	3.85928	3.89561	4.11467	3.83281	4.10689	3.75365	3.96912	3.64206
"ENSG00000006652"	7.83052	7.44927	7.86278	7.8744	7.94887	8.23931	7.47338	7.7863	6.91198	7.80474	7.45847	7.63942	7.7857	7.86363
"ENSG00000006659"	2.81578	2.91434	2.81244	3.30603	2.71036	2.69067	2.55014	2.59441	2.8265	2.60866	3.06817	2.55908	2.59252	2.66072
"ENSG00000006695"	6.74437	6.56804	6.52461	6.33225	6.84921	6.53071	6.61848	7.04655	6.75329	6.83974	5.97753	6.83712	6.47643	6.8608
"ENSG00000006704"	5.78955	5.68261	5.64984	5.78082	5.26236	5.52161	6.0534	5.57164	5.52879	5.77915	5.75925	5.39595	5.37365	5.6781
"ENSG00000006712"	7.23919	6.89287	7.15266	6.76801	7.31976	7.1605	6.89344	7.35777	7.14197	7.34704	7.12596	7.23973	7.15735	7.07929
