"Treated BAT (fex)_R2(r1)"	"BAT_R2(r1)"	"Beige/brite (fex on gWAT)_R2(r1)"	"gWAT_R2(r1)"	"Beige/brite (fex on iWAT)_R2(r1)"	"iWAT_R2(r1)"
"ENSMUSG00000104211"	4.72370658935084	4.7491520949858	4.90614431105061	5.08248515793919	5.00817659686795	4.94182506773731
"ENSMUSG00000009470"	13.2606098239867	13.3445284772945	13.5862277857583	13.5609835831194	13.303803743365	13.3331508322031
"ENSMUSG00000062991"	1.10309939896682	0.724332023542803	0.83016514247583	0.988256719053153	0.928969427305701	1.13085359352329
"ENSMUSG00000058258"	11.6862305421502	11.3114951613392	11.4082002062611	11.9269253833298	11.2829853314474	11.7321622420188
"ENSMUSG00000022221"	9.64661517184734	9.61371518359949	10.4565035267828	10.2978083783719	10.0903948817125	10.0679943554943
"ENSMUSG00000032815"	7.8490991439331	7.56626282332715	8.74063144680682	8.7282004217472	8.13350168791623	8.30110496597154
"ENSMUSG00000081172"	1.69870940781205	2.07357640152572	1.42317211383916	1.24560859616811	1.27352035073503	1.5140486556107
"ENSMUSG00000106268"	0.057863071833536	-0.0816228579138428	0.158967989763222	0.108120921358123	0.13830231916143	-0.102958726133912
"ENSMUSG00000046748"	3.39182065683898	3.44048951136424	3.37388934508957	3.47684504460633	3.81714220110629	3.76016822727045
"ENSMUSG00000028865"	8.79740521687346	9.52936961122164	7.80676956372759	8.10121205081944	9.07880948947452	8.84479743717873
"ENSMUSG00000033096"	13.720311971066	14.1145120650991	13.8792261720651	13.718317263605	14.4298482137533	14.0902451230818
"ENSMUSG00000086479"	-1.06433975801465	-1.208073667558	-1.21628616025348	-1.10857293317352	-1.09245493466581	-1.21733527928104
"ENSMUSG00000105699"	5.26249505851879	4.48175998155053	5.13932015120681	5.07280055684988	4.7812897548003	4.74683335887225
"ENSMUSG00000047710"	10.2455028596204	10.1866567040381	10.5510756277573	10.6381969082334	10.3761526112676	10.4768869700452
"ENSMUSG00000099309"	0.123739646389331	0.518710567043734	0.10148996896897	-0.0646442927653213	-0.0583813841667721	0.0904271158617052
"ENSMUSG00000054342"	9.83919745135471	9.66033828168852	11.9193779460849	11.886295417454	10.4971338081015	10.7600841128899
"ENSMUSG00000026849"	10.90332113193	11.0041126427239	11.1119343339735	10.9168088496221	11.0120774602748	10.9430530651368
"ENSMUSG00000105130"	3.75122124305243	4.49475304633787	3.48047524424129	3.59971974762476	3.98824494135511	3.80652760522221
"ENSMUSG00000051515"	7.46090319436627	7.11069560703069	6.5973620883264	6.39246320098672	7.36977368350451	6.9436134256267
"ENSMUSG00000028756"	14.954368948587	15.0260288525624	14.1169550318353	13.8885251914964	14.5913627294969	14.3191574075823
"ENSMUSG00000099757"	8.0061195781374	7.82616437516074	9.39887055428726	9.5236029079058	8.54154884402408	9.01661603735096
"ENSMUSG00000106464"	7.77793896800497	7.90307427981002	7.41784636024591	7.71105889291144	7.52854894753274	7.82723756378201
"ENSMUSG00000086864"	7.27488485458183	6.86434950645056	6.46555254559738	6.73320379352576	7.2446131696962	7.37650736901926
