"Treated BAT (cold)_R1(r1)"	"Treated BAT (cold)_R1(r2)"	"Treated BAT (cold)_R1(r3)"	"Beige/brite (cold on iWAT)_R1(r1)"	"Beige/brite (cold on iWAT)_R1(r2)"	"Beige/brite (cold on iWAT)_R1(r3)"
"ENSMUSG00000009739"	2.32042191619685	2.30879991283716	2.25565754501303	2.52664591703583	2.52268003978565	2.2825508299096
"ENSMUSG00000037266"	5.31081535784136	5.74235101642385	5.67735996896837	5.26943985935855	5.53954907044464	5.65314162651144
"ENSMUSG00000006782"	0.572567371985234	0.502530251865036	0.503003977407573	0.681899099260082	0.739929774809857	0.60716194229319
"ENSMUSG00000048706"	0.76191260984555	0.759789661623013	0.828543114852783	1.24611764603252	0.906354349545682	0.781572743319105
"ENSMUSG00000020705"	3.66102024040851	3.41227233975172	3.60239901556633	4.10427871368216	3.89131952420231	3.66079350757251
"ENSMUSG00000022551"	9.01665239546716	9.11298655321757	9.16137089025989	8.80181285515813	8.60322143383158	9.0325091910341
"ENSMUSG00000039218"	5.98670206763024	6.10368073900711	6.30333369855745	6.26090590648087	6.49973736369666	6.18934298912495
"ENSMUSG00000027940"	2.91826759498588	3.00758951435391	3.3187242246766	3.07347144321221	3.106323841096	3.39939442812227
"ENSMUSG00000028034"	4.48764748039346	4.15818232167504	4.62839522629382	4.36076564923984	4.34242626119546	4.70778803296627
"ENSMUSG00000029754"	-1.68184783376409	-1.74944400087513	-1.74934959506273	-1.75192095354905	-1.69831546384808	-1.74592601699255
"ENSMUSG00000063488"	0.613882303392628	0.608296568153762	0.609853388431366	0.517454980230127	0.522992865114464	0.583402709860019
"ENSMUSG00000002477"	1.67115383034511	1.72852428830482	1.90233292442617	1.89237439177372	1.82833306748711	1.88138170960135
"ENSMUSG00000041845"	0.923724659223232	0.976401846039132	0.857252087423669	1.00750208162087	0.883686640383688	0.81164740300713
"ENSMUSG00000026102"	3.47495035603782	3.41163983471146	3.45911618444718	3.50508186499832	3.42380599678297	3.40630375987698
"ENSMUSG00000027523"	6.25448725832819	6.74125870800097	6.98213248601731	5.84291034462534	6.33840636470801	6.50456769446183
"ENSMUSG00000103901"	-1.77427404704315	-1.70988184585932	-1.77451097159931	-1.77699969339964	-1.72383064590394	-1.77119038281183
"ENSMUSG00000032572"	-0.180304772077938	-0.115612629245492	-0.114758091728332	0.0423566587480871	-0.187369756491743	-0.170685781834015
"ENSMUSG00000025877"	-1.0995346040146	-1.10014660812529	-1.09997598996829	-1.10466897233893	-0.99205308159441	-1.00222702421809
"ENSMUSG00000037784"	-0.103994610974936	-0.249199694881998	-0.248869204556703	-0.201627642852844	-0.256228413084076	-0.0555818078531116
"ENSMUSG00000021687"	3.16098450640843	3.40892951902791	3.33310264872015	3.3044974562894	3.37381463504172	3.37724475510429
"ENSMUSG00000036867"	1.85263745175195	2.07889141760014	1.97128440553669	2.06933845805377	2.13204356980592	2.06583877246785
"ENSMUSG00000024381"	3.11232489368728	2.94116458167111	3.23567953262112	3.3294441541184	3.24670923003636	3.275622520605
"ENSMUSG00000031262"	-1.81195530409428	-1.74789103615358	-1.81218374056186	-1.76519949818397	-1.81411972025168	-1.80897946838647
"ENSMUSG00000024900"	4.45827783234195	4.5181169271179	4.7139198745027	4.56821338153405	4.64530742367884	4.4535358071919
"ENSMUSG00000040254"	-0.635069048668063	-0.571464355202848	-0.635586089770389	-0.499615217728502	-0.587542869161139	-0.628340446512615
"ENSMUSG00000023991"	3.14984399379801	3.52247621776824	3.56940962948224	3.87005481585379	3.82860368895648	3.35091047687811
"ENSMUSG00000030314"	4.85324553268924	5.04211605185047	4.93357748180413	5.01661292136931	5.24849672798043	5.09746069230435
"ENSMUSG00000102550"	-1.03786035362795	-1.03842943004823	-1.03827089738963	-1.0425984157429	-0.841783217158245	-1.03253779328942
"ENSMUSG00000042225"	1.29246758213472	1.16142667617164	1.09528104952876	1.35492956496651	1.28437713885043	1.29064341533241
